,total_files,earliest_commit,typescript_4.0,typescript_4.1,typescript_4.2,remapped_name_in_mapped_type,typescript_4.3,typescript_4.4,typescript_4.5,type_modifier_on_import_name,template_literal_type,named_tuple_member,short_circuit_assignment,override_on_class_method,typescript_4.7,typescript_4.9,abstract_construct_signature,extends_constraint_on_infer,accessor_keyword,static_block_in_class,import_assertion,variance_annotations_on_type_parameter,satisfies_expression
tensorflow/playground,7.0,2020.0,,,,,,,,,,,,,,,,,,,,,
blitz-js/blitz,823.0,2020.0,44.0,43.0,22.0,,22.0,2.0,2.0,,,160.0,169.0,,,,,,,,,,
dotansimha/graphql-yoga,209.0,2020.0,,,,,,105.0,,237.0,,550.0,,,34.0,1.0,,,,,,,
cyclejs/cyclejs,130.0,2020.0,31.0,55.0,63.0,,,,68.0,,522.0,,431.0,,29.0,,,,,,,,
reduxjs/reselect,9.0,2020.0,,,,,,52.0,,,361.0,452.0,,,,,,163.0,,,,,
rough-stuff/rough-notation,4.0,2020.0,71.0,,,,,,,,,,,,,,,,,,,,
whyour/qinglong,69.0,2021.0,,116.0,,,,,,,,,,,,,,,,,,,
faker-js/faker,2307.0,2020.0,,,,,,,59.0,,532.0,520.0,513.0,,8.0,6.0,,,,,,,
danilowoz/react-content-loader,5.0,2020.0,,,,,,,,,,,,,,,,,,,,,
Vanessa219/vditor,116.0,2020.0,,,,,,,,,,,,,,,,,,,,,
tremorlabs/tremor,95.0,2022.0,,,,,,,,,,,,,,,,,,,,,
vector-im/element-web,31.0,2020.0,,70.0,,,113.0,,26.0,,,783.0,,,51.0,15.0,,,,,,,
windicss/windicss,131.0,2020.0,,47.0,41.0,,,,26.0,,199.0,151.0,162.0,,,,,,,,,,
formkit/auto-animate,20.0,2022.0,,,,,,,,,,631.0,,,,,,,,,,,
microsoft/vscode-extension-samples,139.0,2020.0,,,,,,,,,,678.0,,,,,,,,,,,
yangshun/tech-interview-handbook,107.0,2022.0,,,,,,,,316.0,,,,,,,,,,,,,
angular/flex-layout,340.0,2020.0,84.0,,85.0,,,91.0,,,,,501.0,386.0,23.0,,,,,,,,
jkchao/typescript-book-chinese,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,
compiler-explorer/compiler-explorer,305.0,2020.0,215.0,,,,64.0,34.0,8.0,217.0,,589.0,,108.0,40.0,,,,,,,,
vercel/commerce,793.0,2020.0,33.0,,103.0,,27.0,,57.0,348.0,,,,,,,,,,,,,
feathersjs/feathers,269.0,2020.0,,28.0,25.0,,11.0,25.0,48.0,,,,445.0,,14.0,22.0,,,,,,,
wangeditor-team/wangEditor,509.0,2020.0,60.0,,,,93.0,,,,,,,,,,,,,,,,
excalidraw/excalidraw,130.0,2020.0,70.0,25.0,13.0,,,68.0,3.0,,342.0,433.0,,,,38.0,,,,,,,
teambit/bit,2718.0,2020.0,100.0,12.0,,,81.0,10.0,,,553.0,710.0,266.0,,158.0,,,,,,,,
fkhadra/react-toastify,19.0,2020.0,,,,,91.0,,,,,,,,,,,,,,,,
electron/forge,196.0,2020.0,5.0,,,,,4.0,54.0,,,798.0,,,,,,,,,,,
